,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
14795,643950,A Handful of Keflings,2018-01-25,1,1,0,0,0,20,0,0,15.49,10000.0,154900.0,11,0.36363636363636365,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14796,643960,Cursed Treasure 2,2017-07-21,2,0,0,1,0,53,0,0,3.99,10000.0,39900.0,121,0.8181818181818182,13,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14797,643970,Return to Planet X,2018-09-07,1,0,0,0,1,0,0,0,7.19,10000.0,71900.0,14,0.6428571428571429,16,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14798,643980,Ironbound,2018-01-04,1,1,0,0,0,26,6,6,0.0,35000.0,0.0,208,0.6875,20,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
14799,644010,Racing Glider,2018-05-03,1,0,1,0,0,0,0,0,7.19,10000.0,71900.0,27,0.7037037037037037,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14800,644080,Alphabear: Hardcover Edition,2017-08-23,2,0,0,1,0,10,82,82,6.99,10000.0,69900.0,80,0.8375,5,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14801,644090,MoonDigger,2018-01-21,1,1,0,0,0,0,0,0,0.79,10000.0,7900.0,25,0.72,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14802,644100,RUN ROOMS,2017-11-02,2,0,0,0,1,34,277,281,1.49,35000.0,52150.0,330,0.7121212121212122,8,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14803,644110,Lone Pirate VR,2017-05-26,2,0,1,0,0,7,0,0,6.19,10000.0,61900.00000000001,13,0.5384615384615384,4,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14804,644120,AfterTime,2018-01-18,1,1,0,0,0,0,0,0,0.79,10000.0,7900.0,11,0.6363636363636364,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
